date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:46	42863/42863	---M--	200	added ('OK')	application/javascript	etag:%22b3a37a5-a76f-559061e257380%22	http://gambolthemes.net/workwise-new/lib/slick/slick.min.js	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/lib/slick/slick.min.js	(from http://gambolthemes.net/workwise-new/profiles.html)
01:29:50	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%22b3a3797-17b8b-5588f2fbc7200%22	http://gambolthemes.net/workwise-new/js/jquery.min.js	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/js/jquery.min.js	(from http://gambolthemes.net/workwise-new/profiles.html)
01:29:55	45108/45108	---M--	200	added ('OK')	font/woff2	etag:%22b3a3677-b034-546f3b3238500%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.woff2?v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesomeeb4f.woff2	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:29:59	57436/57436	---M--	200	added ('OK')	font/woff	etag:%22b3a3676-e05c-546f3b3238500%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.woff?v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesomeeb4f.woff	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:30:04	433695/433695	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a3674-69e1f-569aedd904980%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.svg?v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesomeeb4f.svg	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:30:07	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a3673-1b914-546f3b3238500%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.eot?v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesomeeb4f.eot	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:30:07	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a3673-1b914-546f3b3238500%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.eot??v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesome0176.eot	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:30:15	112728/112728	---M--	200	added ('OK')	font/ttf	etag:%22b3a3675-1b858-546f3b3238500%22	http://gambolthemes.net/workwise-new/fonts/line-awesome.ttf?v=1.1.	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/fonts/line-awesomeeb4f.ttf	(from http://gambolthemes.net/workwise-new/css/line-awesome.css)
01:30:19	74524/74524	---M--	200	added ('OK')	font/woff2	etag:%22b3a37fe-1231c-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:25	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a37fa-1fa36-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.eot	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.eot	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
